Ontology 1 (https://w3id.org/fuskg/food),Relation,Ontology 2 (http://purl.obolibrary.org/obo/foodon.owl)
https://w3id.org/fuskg/food#Cystine,=,http://purl.obolibrary.org/obo/CHEBI_17376
https://w3id.org/fuskg/food#Fish,=,http://purl.obolibrary.org/obo/FOODON_03411222
https://w3id.org/fuskg/food#Lipid,=,http://purl.obolibrary.org/obo/CHEBI_18059
https://w3id.org/fuskg/food#FreshFish,=,http://purl.obolibrary.org/obo/FOODON_03315446
https://w3id.org/fuskg/food#FrozenFish,=,http://purl.obolibrary.org/obo/FOODON_03301083
https://w3id.org/fuskg/food#Shellfish,=,http://purl.obolibrary.org/obo/FOODON_03411433
https://w3id.org/fuskg/food#SaltedFish,=,http://purl.obolibrary.org/obo/FOODON_03307326
https://w3id.org/fuskg/food#ErucicAcid,=,http://purl.obolibrary.org/obo/CHEBI_28792
https://w3id.org/fuskg/food#Glucose,=,http://purl.obolibrary.org/obo/CHEBI_17234
https://w3id.org/fuskg/food#Arginine,=,http://purl.obolibrary.org/obo/CHEBI_29016
https://w3id.org/fuskg/food#Leucine,=,http://purl.obolibrary.org/obo/CHEBI_25017
https://w3id.org/fuskg/food#Methionine,=,http://purl.obolibrary.org/obo/CHEBI_16811
https://w3id.org/fuskg/food#MyristoleicAcid,=,http://purl.obolibrary.org/obo/CHEBI_27781
https://w3id.org/fuskg/food#Lactose,=,http://purl.obolibrary.org/obo/CHEBI_17716
https://w3id.org/fuskg/food#PalmitoleicAcid,=,http://purl.obolibrary.org/obo/CHEBI_28716
https://w3id.org/fuskg/food#Starch,=,http://purl.obolibrary.org/obo/CHEBI_28017
https://w3id.org/fuskg/food#GlutamicAcid,=,http://purl.obolibrary.org/obo/CHEBI_18237
https://w3id.org/fuskg/food#OleicAcid,=,http://purl.obolibrary.org/obo/CHEBI_16196
https://w3id.org/fuskg/food#Glycine,=,http://purl.obolibrary.org/obo/CHEBI_15428
https://w3id.org/fuskg/food#Broth,=,http://purl.obolibrary.org/obo/FOODON_03309462
https://w3id.org/fuskg/food#Tryptophan,=,http://purl.obolibrary.org/obo/CHEBI_27897
https://w3id.org/fuskg/food#LinoleicAcid,=,http://purl.obolibrary.org/obo/CHEBI_17351
https://w3id.org/fuskg/food#Histidine,=,http://purl.obolibrary.org/obo/CHEBI_27570
https://w3id.org/fuskg/food#Serine,=,http://purl.obolibrary.org/obo/CHEBI_17822
https://w3id.org/fuskg/food#Mineral,=,http://purl.obolibrary.org/obo/CHEBI_46662
https://w3id.org/fuskg/food#Proline,=,http://purl.obolibrary.org/obo/CHEBI_26271
https://w3id.org/fuskg/food#Threonine,=,http://purl.obolibrary.org/obo/CHEBI_26986
https://w3id.org/fuskg/food#LinolenicAcid,=,http://purl.obolibrary.org/obo/CHEBI_25048
https://w3id.org/fuskg/food#Protein,=,http://purl.obolibrary.org/obo/CHEBI_36080
https://w3id.org/fuskg/food#Cholesterol,=,http://purl.obolibrary.org/obo/CHEBI_16113
https://w3id.org/fuskg/food#Alcohol,=,http://purl.obolibrary.org/obo/CHEBI_30879
https://w3id.org/fuskg/food#Alanine,=,http://purl.obolibrary.org/obo/CHEBI_16449
https://w3id.org/fuskg/food#ArachidonicAcid,=,http://purl.obolibrary.org/obo/CHEBI_15843
https://w3id.org/fuskg/food#Galactose,=,http://purl.obolibrary.org/obo/CHEBI_28260
https://w3id.org/fuskg/food#Lysine,=,http://purl.obolibrary.org/obo/CHEBI_25094
https://w3id.org/fuskg/food#Tyrosine,=,http://purl.obolibrary.org/obo/CHEBI_18186
https://w3id.org/fuskg/food#Maltose,=,http://purl.obolibrary.org/obo/CHEBI_17306
https://w3id.org/fuskg/food#FolicAcid,=,http://purl.obolibrary.org/obo/CHEBI_27470
https://w3id.org/fuskg/food#Phenylalanine,=,http://purl.obolibrary.org/obo/CHEBI_28044
https://w3id.org/fuskg/food#Fructose,=,http://purl.obolibrary.org/obo/CHEBI_28757
https://w3id.org/fuskg/food#WhiteBread,=,http://purl.obolibrary.org/obo/FOODON_03301055
https://w3id.org/fuskg/food#Isoleucine,=,http://purl.obolibrary.org/obo/CHEBI_24898
https://w3id.org/fuskg/food#AsparticAcid,=,http://purl.obolibrary.org/obo/CHEBI_22660
https://w3id.org/fuskg/food#VitaminA,=,http://purl.obolibrary.org/obo/CHEBI_12777
https://w3id.org/fuskg/food#Algae,=,http://purl.obolibrary.org/obo/FOODON_03411301
https://w3id.org/fuskg/food#WholeWheatFlour,=,http://purl.obolibrary.org/obo/FOODON_03302340
https://w3id.org/fuskg/food#Biotin,=,http://purl.obolibrary.org/obo/CHEBI_15956
https://w3id.org/fuskg/food#Sucrose,=,http://purl.obolibrary.org/obo/CHEBI_17992
https://w3id.org/fuskg/food#Valine,=,http://purl.obolibrary.org/obo/CHEBI_27266
https://w3id.org/fuskg/food#CannedMeat,=,http://purl.obolibrary.org/obo/FOODON_03306545
https://w3id.org/fuskg/food#VitaminB12,=,http://purl.obolibrary.org/obo/CHEBI_176843
https://w3id.org/fuskg/food#VitaminD,=,http://purl.obolibrary.org/obo/CHEBI_27300
https://w3id.org/fuskg/food#VitaminE,=,http://purl.obolibrary.org/obo/CHEBI_33234
https://w3id.org/fuskg/food#VitaminB1,=,http://purl.obolibrary.org/obo/CHEBI_26948
https://w3id.org/fuskg/food#WheatFlour,=,http://purl.obolibrary.org/obo/FOODON_03301116
https://w3id.org/fuskg/food#Pastry,=,http://purl.obolibrary.org/obo/FOODON_03315272
https://w3id.org/fuskg/food#Pasta,=,http://purl.obolibrary.org/obo/FOODON_03306347
https://w3id.org/fuskg/food#Jam,=,http://purl.obolibrary.org/obo/FOODON_03309973
https://w3id.org/fuskg/food#Candy,=,http://purl.obolibrary.org/obo/FOODON_03301051
https://w3id.org/fuskg/food#Rice,=,http://purl.obolibrary.org/obo/FOODON_00004327
https://w3id.org/fuskg/core#Food,=,http://purl.obolibrary.org/obo/CHEBI_33290
https://w3id.org/fuskg/food#PolarAminoacid,=,http://purl.obolibrary.org/obo/CHEBI_26167
https://w3id.org/fuskg/food#Aminoacid,=,http://purl.obolibrary.org/obo/CHEBI_33709
https://w3id.org/fuskg/food#Salt,=,http://purl.obolibrary.org/obo/CHEBI_24866
https://w3id.org/fuskg/food#BetaCarotene,=,http://purl.obolibrary.org/obo/CHEBI_17579
https://w3id.org/fuskg/food#SmokedFish,=,http://purl.obolibrary.org/obo/FOODON_03301318
https://w3id.org/fuskg/food#ChocolateAndCocoa,=,http://purl.obolibrary.org/obo/FOODON_03460231
https://w3id.org/fuskg/food#MyristicAcid,=,http://purl.obolibrary.org/obo/CHEBI_28875
https://w3id.org/fuskg/food#Manganese,=,http://purl.obolibrary.org/obo/CHEBI_18291
https://w3id.org/fuskg/food#VitaminB6,=,http://purl.obolibrary.org/obo/CHEBI_27306
https://w3id.org/fuskg/food#VitaminC,=,http://purl.obolibrary.org/obo/CHEBI_176783
https://w3id.org/fuskg/food#VitaminB2,=,http://purl.obolibrary.org/obo/CHEBI_176838
https://w3id.org/fuskg/food#Cheese,=,http://purl.obolibrary.org/obo/FOODON_00001013
https://w3id.org/fuskg/food#IceCream,=,http://purl.obolibrary.org/obo/FOODON_00001045
https://w3id.org/fuskg/food#FatsAndOils,=,http://purl.obolibrary.org/obo/FOODON_00002664
https://w3id.org/fuskg/food#Fruits,=,http://purl.obolibrary.org/obo/FOODON_03304644
https://w3id.org/fuskg/food#Nuts,=,http://purl.obolibrary.org/obo/FOODON_03306632
https://w3id.org/fuskg/food#Niacin,=,http://purl.obolibrary.org/obo/CHEBI_176839
https://w3id.org/fuskg/food#Dessert,=,http://purl.obolibrary.org/obo/FOODON_03303220
https://w3id.org/fuskg/food#FreshCheese,=,http://purl.obolibrary.org/obo/FOODON_03401211
https://w3id.org/fuskg/food#Bread,=,http://purl.obolibrary.org/obo/FOODON_03400817
https://w3id.org/fuskg/food#TableCream,=,http://purl.obolibrary.org/obo/FOODON_03420160
https://w3id.org/fuskg/food#NonAlcoholicBeverages,=,http://purl.obolibrary.org/obo/FOODON_03400709
https://w3id.org/fuskg/food#Potassium,=,http://purl.obolibrary.org/obo/CHEBI_29103
https://w3id.org/fuskg/food#EicosenoicAcid,=,http://purl.obolibrary.org/obo/CHEBI_32425
https://w3id.org/fuskg/food#ArachidicAcid,=,http://purl.obolibrary.org/obo/CHEBI_28822
https://w3id.org/fuskg/food#Magnesium,=,http://purl.obolibrary.org/obo/CHEBI_18420
https://w3id.org/fuskg/food#PantothenicAcid,=,http://purl.obolibrary.org/obo/CHEBI_46905
https://w3id.org/fuskg/food#Selenium,=,http://purl.obolibrary.org/obo/CHEBI_190427
https://w3id.org/fuskg/food#StearicAcid,=,http://purl.obolibrary.org/obo/CHEBI_28842
https://w3id.org/fuskg/food#MilkAndDairyProducts,=,http://purl.obolibrary.org/obo/FOODON_03542649
https://w3id.org/fuskg/food#BehenicAcid,=,http://purl.obolibrary.org/obo/CHEBI_28941
https://w3id.org/fuskg/food#AlcoholicBeverages,=,http://purl.obolibrary.org/obo/FOODON_03543330
https://w3id.org/fuskg/food#FruitJuices,=,http://purl.obolibrary.org/obo/FOODON_03400708
https://w3id.org/fuskg/food#Calcium,=,http://purl.obolibrary.org/obo/CHEBI_29108
https://w3id.org/fuskg/food#FishAndSeafood,=,http://purl.obolibrary.org/obo/FOODON_03400717
https://w3id.org/fuskg/food#CandiedFruits,=,http://purl.obolibrary.org/obo/FOODON_03541848
https://w3id.org/fuskg/food#SweetSpreads,=,http://purl.obolibrary.org/obo/FOODON_03401112
https://w3id.org/fuskg/food#Sodium,=,http://purl.obolibrary.org/obo/CHEBI_29101
https://w3id.org/fuskg/food#ProcessedShellfish,=,http://purl.obolibrary.org/obo/FOODON_03315492
https://w3id.org/fuskg/food#PalmiticAcid,=,http://purl.obolibrary.org/obo/CHEBI_15756
https://w3id.org/fuskg/food#Copper,=,http://purl.obolibrary.org/obo/CHEBI_29036
https://w3id.org/fuskg/food#RedMeat,=,http://purl.obolibrary.org/obo/FOODON_03301297
https://w3id.org/fuskg/food#Cereals,=,http://purl.obolibrary.org/obo/FOODON_03401240
https://w3id.org/fuskg/food#LauricAcid,=,http://purl.obolibrary.org/obo/CHEBI_30805
https://w3id.org/fuskg/food#Mollusc,=,http://purl.obolibrary.org/obo/FOODON_03308769
https://w3id.org/fuskg/food#MarinatedFish,=,http://purl.obolibrary.org/obo/FOODON_03316320
https://w3id.org/fuskg/food#Spices,=,http://purl.obolibrary.org/obo/FOODON_03401248
https://w3id.org/fuskg/food#AnimalProtein,=,http://purl.obolibrary.org/obo/FOODON_03315718
https://w3id.org/fuskg/food#Vitamin,=,http://purl.obolibrary.org/obo/CHEBI_176841
https://w3id.org/fuskg/food#WaterBeverage,=,http://purl.obolibrary.org/obo/FOODON_03316005
https://w3id.org/fuskg/food#Phosphorus,=,http://purl.obolibrary.org/obo/FOODON_03544490
https://w3id.org/fuskg/food#ProcessedFish,=,http://purl.obolibrary.org/obo/FOODON_03315491
https://w3id.org/fuskg/food#Zinc,=,http://purl.obolibrary.org/obo/CHEBI_29105
https://w3id.org/fuskg/core#Nutrient,=,http://purl.obolibrary.org/obo/FOODON_03400432
https://w3id.org/fuskg/food#Vegetables,=,http://purl.obolibrary.org/obo/FOODON_03400650
https://w3id.org/fuskg/food#Syrups,=,http://purl.obolibrary.org/obo/FOODON_03543006
https://w3id.org/fuskg/food#Iodine,=,http://purl.obolibrary.org/obo/FOODON_03544496
https://w3id.org/fuskg/food#Cream,=,http://purl.obolibrary.org/obo/FOODON_03310908
https://w3id.org/fuskg/food#PowderedMilk,=,http://purl.obolibrary.org/obo/FOODON_03306002
https://w3id.org/fuskg/food#Sausages,=,http://purl.obolibrary.org/obo/FOODON_03542143
https://w3id.org/fuskg/food#Iron,=,http://purl.obolibrary.org/obo/CHEBI_29033
https://w3id.org/fuskg/food#Beer,=,http://purl.obolibrary.org/obo/FOODON_03400711
https://w3id.org/fuskg/food#Eggs,=,http://purl.obolibrary.org/obo/FOODON_03400718
https://w3id.org/fuskg/food#AnimalFatsAndOils,=,http://purl.obolibrary.org/obo/FOODON_03543092
https://w3id.org/fuskg/food#Flour,=,http://purl.obolibrary.org/obo/FOODON_03400693
https://w3id.org/fuskg/food#Meat,=,http://purl.obolibrary.org/obo/FOODON_03401258
https://w3id.org/fuskg/food#Beverages,=,http://purl.obolibrary.org/obo/FOODON_03400875
https://w3id.org/fuskg/food#Yogurt,=,http://purl.obolibrary.org/obo/FOODON_03316668
https://w3id.org/fuskg/food#Chlorine,=,http://purl.obolibrary.org/obo/CDNO_0000016
https://w3id.org/fuskg/food#Wine,=,http://purl.obolibrary.org/obo/FOODON_03400712
